datetime,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2024-01-02 00:00:00,1.10424,1.10443,1.10341,1.10349,4438
2024-01-02 04:00:00,1.1035,1.1036,1.10165,1.10334,5889
2024-01-02 08:00:00,1.10336,1.10388,1.10106,1.10152,13826
2024-01-02 12:00:00,1.10151,1.10171,1.09494,1.09527,18275
2024-01-02 16:00:00,1.09527,1.09683,1.09408,1.09506,22154
2024-01-02 20:00:00,1.09505,1.09559,1.09383,1.09413,8609
2024-01-03 00:00:00,1.09423,1.09548,1.09381,1.09513,4275
2024-01-03 04:00:00,1.09513,1.09627,1.09486,1.09513,4959
2024-01-03 08:00:00,1.09512,1.09654,1.09347,1.09364,13729
2024-01-03 12:00:00,1.09362,1.0939,1.091,1.09216,17309
2024-01-03 16:00:00,1.09217,1.09387,1.0898,1.09066,25836
2024-01-03 20:00:00,1.09065,1.09256,1.08929,1.09196,17269
2024-01-04 00:00:00,1.09163,1.09274,1.0914,1.09178,4820
2024-01-04 04:00:00,1.09178,1.09306,1.09158,1.09266,5978
2024-01-04 08:00:00,1.09265,1.09691,1.09208,1.09674,16898
2024-01-04 12:00:00,1.09674,1.09721,1.09328,1.09472,16600
2024-01-04 16:00:00,1.09471,1.09653,1.09381,1.09505,21768
2024-01-04 20:00:00,1.09504,1.09544,1.0943,1.09478,8021
2024-01-05 00:00:00,1.09442,1.09559,1.0942,1.09514,5888
2024-01-05 04:00:00,1.09515,1.09542,1.0934,1.09374,5708
2024-01-05 08:00:00,1.09374,1.09374,1.09028,1.09125,13909
2024-01-05 12:00:00,1.09127,1.09278,1.08765,1.0921,18319
2024-01-05 16:00:00,1.0921,1.09984,1.0921,1.09463,33341
2024-01-05 20:00:00,1.09462,1.09596,1.09353,1.09409,11937
2024-01-08 00:00:00,1.09411,1.09531,1.09348,1.0948,4084
2024-01-08 04:00:00,1.09479,1.09479,1.09306,1.09374,5746
2024-01-08 08:00:00,1.09374,1.09522,1.09224,1.09371,14197
2024-01-08 12:00:00,1.09382,1.09562,1.09343,1.09507,15792
2024-01-08 16:00:00,1.09507,1.09789,1.09494,1.09646,19451
2024-01-08 20:00:00,1.09645,1.09658,1.09488,1.09508,7876
2024-01-09 00:00:00,1.09501,1.09618,1.09483,1.09614,5873
2024-01-09 04:00:00,1.09615,1.09662,1.09481,1.09496,5519
2024-01-09 08:00:00,1.09496,1.09628,1.09378,1.0944,13317
2024-01-09 12:00:00,1.09441,1.09481,1.09287,1.09458,15337
2024-01-09 16:00:00,1.09461,1.09512,1.09103,1.0934,20903
2024-01-09 20:00:00,1.09341,1.09399,1.09199,1.0931,10168
2024-01-10 00:00:00,1.09276,1.09362,1.09251,1.09321,5268
2024-01-10 04:00:00,1.09322,1.09359,1.09276,1.09323,5459
2024-01-10 08:00:00,1.09322,1.09518,1.09227,1.09472,14831
2024-01-10 12:00:00,1.09469,1.09552,1.09406,1.09406,13008
2024-01-10 16:00:00,1.09405,1.09692,1.09318,1.09672,15995
2024-01-10 20:00:00,1.09671,1.09728,1.09593,1.0972,10091
2024-01-11 00:00:00,1.09695,1.09801,1.09691,1.0979,4845
2024-01-11 04:00:00,1.09791,1.09848,1.09755,1.09784,5569
2024-01-11 08:00:00,1.09783,1.09885,1.09588,1.09638,11823
2024-01-11 12:00:00,1.09637,1.09985,1.09354,1.09388,19337
2024-01-11 16:00:00,1.09393,1.09731,1.09302,1.09507,35233
2024-01-11 20:00:00,1.09508,1.09829,1.09498,1.09727,15589
2024-01-12 00:00:00,1.09724,1.09847,1.09698,1.09826,6976
2024-01-12 04:00:00,1.09825,1.09853,1.0973,1.09755,5913
2024-01-12 08:00:00,1.09759,1.09827,1.09608,1.09624,13431
2024-01-12 12:00:00,1.09623,1.09694,1.09359,1.09553,18230
2024-01-12 16:00:00,1.09552,1.09869,1.09472,1.09496,26150
2024-01-12 20:00:00,1.09496,1.09635,1.0948,1.09496,8655
